q01,q02,q03,q04,q05,q06,q07,q08,q09,q10
4,4,3,2,3,3,5,3,2,2
3,2,3,1,2,2,2,2,2,4
3,2,4,4,3,2,3,4,3,2
3,3,3,3,3,2,3,3,2,2
3,4,3,2,4,2,3,3,4,3
4,5,3,4,1,3,3,3,2,4
4,2,2,2,4,3,3,2,2,2
3,3,2,1,5,3,3,2,2,1
4,4,1,4,2,4,2,4,1,4
5,3,5,1,2,3,5,2,4,1
